question_id,question_type,question_fr,question_en,subtitle_fr,required,default_next_question,choice_id,choice_label_fr,choice_label_en,choice_icon,choice_tags,choice_next_question,routing_notes
location,text,"Où habitez-vous ?","Where do you live?","Code postal ou ville (ex: 75001 Paris)",true,origin_country,,,,,,,
origin_country,text,"De quel pays venez-vous ?","What country are you from?","Pour mieux adapter nos services",false,main_goal,,,,,,,"Q1b – Nouveau champ profil"
main_goal,choice,"Quel est votre objectif principal ?","What is your main goal?",,false,contact_48h,learn_french,"Apprendre / améliorer mon français","Learn / improve my French",📖,"route_a,fle_priority",,"→ Route A (FLE)"
main_goal,choice,"Quel est votre objectif principal ?","What is your main goal?",,false,contact_48h,find_job,"Trouver un emploi rapidement","Find a job quickly",💼,"route_c,job_priority",,"→ Route C (Emploi direct)"
main_goal,choice,"Quel est votre objectif principal ?","What is your main goal?",,false,contact_48h,job_training,"Faire une formation pour un métier","Get vocational training",🎓,"route_b,training_priority",,"→ Route B (Formation qualifiante)"
main_goal,choice,"Quel est votre objectif principal ?","What is your main goal?",,false,contact_48h,need_help,"Je ne sais pas / besoin d'aide","I don't know / need help",🤝,"sas,needs_orientation",,"→ SAS Insertion"
contact_48h,choice,"Êtes-vous disponible pour être contacté sous 48h ?","Are you available to be contacted within 48h?","Un conseiller vous appellera pour vous aider",false,literacy,yes,"Oui, je suis disponible","Yes, I am available",✅,"reactive,contact_ok",,
contact_48h,choice,"Êtes-vous disponible pour être contacté sous 48h ?","Are you available to be contacted within 48h?","Un conseiller vous appellera pour vous aider",false,literacy,no,"Non, pas tout de suite","No, not right now",⏰,"a_relancer,nurturing",,
literacy,choice,"Savez-vous lire et écrire dans votre langue ?","Can you read and write in your language?",,false,french_level_cecrl,yes,"Oui, couramment","Yes, fluently",✅,literate,,
literacy,choice,"Savez-vous lire et écrire dans votre langue ?","Can you read and write in your language?",,false,french_level_cecrl,partial,"Un peu","A little",📝,partial_literate,,
literacy,choice,"Savez-vous lire et écrire dans votre langue ?","Can you read and write in your language?",,false,french_level_cecrl,no,"Non","No",❌,"non_literate,alpha_priority",,
french_level_cecrl,choice,"En français, vous êtes plutôt :","In French, you are:","Soyez honnête, cela nous aide à vous orienter",false,work_right,alpha,"Débutant total / Je ne parle pas français","Complete beginner / I don't speak French",🆕,"alpha,level_0,fle_required",,
french_level_cecrl,choice,"En français, vous êtes plutôt :","In French, you are:","Soyez honnête, cela nous aide à vous orienter",false,work_right,a1,"A1 - Je connais quelques mots et phrases","A1 - I know some words and phrases",📗,"a1,level_1,fle_required",,
french_level_cecrl,choice,"En français, vous êtes plutôt :","In French, you are:","Soyez honnête, cela nous aide à vous orienter",false,work_right,a2,"A2 - Je me débrouille pour les choses simples","A2 - I can manage simple things",📘,"a2,level_2,job_ready_basic",,
french_level_cecrl,choice,"En français, vous êtes plutôt :","In French, you are:","Soyez honnête, cela nous aide à vous orienter",false,work_right,b1,"B1+ - Je suis à l'aise en français","B1+ - I am comfortable in French",📙,"b1,level_3,job_ready",,
work_right,choice,"Avez-vous le droit de travailler en France ?","Do you have the right to work in France?","Titre de séjour avec autorisation de travail",false,barriers,yes,"Oui","Yes",✅,work_permit,,
work_right,choice,"Avez-vous le droit de travailler en France ?","Do you have the right to work in France?","Titre de séjour avec autorisation de travail",false,barriers,no,"Non","No",❌,"no_work_permit,needs_admin",,
